sample	pitch
126	3F200000
127	3F200000
128	3F200000
129	3F200000
132	3F200000
133	3F200000
134	3F200000
136	3F200000
137	3F200000
138	3F200000
139	3F200000
140	3F200000
141	3F200000
142	3F200000
143	3F200000
144	3F200000
145	3F200000
146	3F200000
147	3F200000
148	3F200000
198	3F200000
124	3F200000
125	3F200000
149	3F200000
154	3F200000
135	3F200000
130	3F200000
131	3F200000
168	3F200000
169	3F200000
170	3F200000
171	3F200000
174	3F200000
175	3F200000
176	3F200000
178	3F200000
179	3F200000
180	3F200000
181	3F200000
182	3F200000
183	3F200000
184	3F200000
185	3F200000
186	3F200000
187	3F200000
188	3F200000
189	3F200000
190	3F200000
191	3F200000
196	3F200000
177	3F200000
192	3F200000
193	3F200000
172	3F200000
173	3F200000
150	3F200000
151	3F200000
210	3F000000
211	3F000000
212	3F000000
152	3F200000
153	3F200000
194	3F200000
195	3F200000
198	3F200000
199	3F200000
200	3F200000
201	3F200000
201	0
202	3F200000
203	3F200000
204	3F200000
205	3F200000
206	3F200000
207	3F200000
208	3F200000
209	3F200000
156	3F200000
157	3F200000
158	3F200000
159	3F200000
160	3F200000
161	3F200000
162	3F200000
163	3F200000
164	3F200000
165	3F200000
166	3F200000
167	3F200000
215	3F000000
216	3F000000
217	3F000000
218	3F000000
221	3F000000
222	3F000000
223	3F000000
224	3F000000
219	3F000000
220	3F000000
225	3F000000
226	3F000000
227	3F000000
210	3F000000
211	3F000000
212	3F000000
228	3F000000
229	3F000000
230	3F000000
231	3F000000
232	3F000000
233	3F000000
234	3F000000
251	3F000000
252	3F000000
239	3F000000
240	3F000000
241	3F000000
242	3F000000
243	3F000000
244	3F000000
245	3F000000
235	3EE411F5
236	3EE411F5
237	3EE411F5
213	3F000000
238	3EE411F5
246	3F000000
247	3F000000
248	3F000000
249	3F000000
250	3F000000
253	3F000000
214	3F000000
214	0
155	3F200000
197	3F200000
