sample	pitch
299	3EE411F5
300	3EE411F5
301	3EE411F5
302	3EE411F5
303	3F000000
304	3EE411F5
306	3F000000
307	3F000000
308	3F000000
309	3F000000
310	3F000000
311	3F000000
313	3F000000
314	3EE411F5
315	3EE411F5
316	3EE411F5
317	3EE411F5
318	3EE411F5
319	3ECB2FFD
322	3EE411F5
324	3ECB2FFD
325	3ECB2FFD
323	3F000000
327	3ECB2FFD
328	3EE411F5
329	3EE411F5
330	3EE411F5
331	3EE411F5
332	3F000000
333	3F000000
334	3EE411F5
335	3EE411F5
336	3ECB2FFD
337	3ECB2FFD
338	3EE411F5
339	3F000000
340	3F000000
341	3ECB2FFD
342	3EBFC88E
326	3F1D2792
343	3F000000
