atkrate	atklvl	dcy1rt	dcy1lvl	dcy2rt	dcy2lvl
2	32700	1	32700	32700	29430
sample	pitch	unknown			
396	3EA1450F	F8400000			
396	3EAADC0A	F8400000			
396	3EB504E6	F8400000			
396	3EBFC88E	F8400000			
396	3ECB2FEC	F8400000			
396	3ED744F6	F8400000			
396	3EE411E4	F8400000			
396	3EF1A1BA	F8400000			
396	3F000000	F8400000			
396	3F079C84	F8400000			
396	3F0FACD6	F8400000			
396	3F1837F8	F8400000			
396	3F214520	F8400000			
396	3F2ADC0A	F8400000			
396	3F3504F7	F8400000			
396	3F3FC88E	F8400000			
396	3F4B2FFD	F8400000			
397	3F3FC88E	F8400000			
397	3F4B2FFD	F8400000			
397	3F574507	F8400000			
397	3F6411F5	F8400000			
397	3F71A1CB	F8400000			
397	3F800000	F8400000			
397	3F879C7C	F8400000			
397	3F8FACD6	F8400000			
397	3F9837EF	F8400000			
397	3FA14517	F8400000			
397	3FAADC0A	F8400000			
397	3FB504F7	F8400000			
397	3FBFC886	F8400000			
397	3FCB2FF5	F8400000			
397	3FD744FE	F8400000			
397	3FE411F5	F8400000			
397	3FF1A1C2	F8400000			
397	40000000	F8400000			
397	40079C7C	F8400000			
397	400FACD6	F8400000			
397	401837EF	F8400000			
397	40214517	F8400000			
397	402ADC0A	F8400000			
397	403504F7	F8400000			
397	403FC88A	F8400000			
397	404B2FF9	F8400000			
397	405744FE	F8400000			
397	406411F5	F8400000			
397	4071A1C2	F8400000			
397	40800000	F8400000			
397	40879C7E	F8400000			
397	408FACD8	F8400000			
397	409837F1	F8400000			
397	40A14519	F8400000			
397	40AADC0A	F8400000			
397	40B504F5	F8400000			
397	40BFC888	F8400000			
397	40CB2FF9	F8400000			
397	40D74500	F8400000			
397	40E411F5	F8400000			
397	40F1A1C2	F8400000			
397	41000000	F8400000			
397	41079C7D	F8400000			
397	410FACD7	F8400000			
397	411837F1	F8400000			
397	41214519	F8400000			
397	412ADC0A	F8400000			
