atkrate	atklvl	dcy1rt	dcy1lvl	dcy2rt	dcy2lvl
2	32700	1	32700	32700	29430
sample	pitch	unknown			
416	3E5744F6	E91F0000			
416	3E6411E4	E91F0000			
416	3E71A1BA	E91F0000			
416	3E800000	E91F0000			
416	3E879C84	E91F0000			
416	3E8FACD6	E91F0000			
416	3E9837F8	E91F0000			
416	3EA14520	E91F0000			
416	3EAADC0A	E91F0000			
416	3EB504F7	E91F0000			
416	3EBFC88E	E91F0000			
416	3ECB2FFD	E91F0000			
416	3ED74507	E91F0000			
416	3EE411F5	E91F0000			
416	3EF1A1CB	E91F0000			
416	3F000000	E91F0000			
416	3F079C7C	E91F0000			
416	3F0FACD6	E91F0000			
416	3F1837EF	E91F0000			
416	3F214517	E91F0000			
416	3F2ADC0A	E91F0000			
417	3EB504E6	E92E0000			
417	3EBFC88E	E92E0000			
417	3ECB2FEC	E92E0000			
417	3ED744F6	E92E0000			
417	3EE411E4	E92E0000			
417	3EF1A1BA	E92E0000			
417	3F000000	E92E0000			
417	3F079C84	E92E0000			
417	3F0FACD6	E92E0000			
417	3F1837F8	E92E0000			
417	3F214520	E92E0000			
417	3F2ADC0A	E92E0000			
417	3F3504F7	E92E0000			
417	3F3FC88E	E92E0000			
417	3F4B2FFD	E92E0000			
417	3F574507	E92E0000			
417	3F6411F5	E92E0000			
417	3F71A1CB	E92E0000			
417	3F800000	E92E0000			
418	3FA67FDC	E94F0000			
418	3FB06666	E94F0000			
418	3FBAE3A7	E94F0000			
418	3FC60096	E94F0000			
418	3FD1C6AE	E94F0000			
418	3FDE4003	E94F0000			
418	3FEB773D	E94F0000			
418	3FF977A4	E94F0000			
418	40042695	E94F0000			
418	400C0241	E94F0000			
418	4014558A	E94F0000			
418	401D2792	E94F0000			
418	40267FDC	E94F0000			
418	40306666	E94F0000			
418	403AE3AA	E94F0000			
418	40460099	E94F0000			
418	4051C6B1	E94F0000			
418	405E4006	E94F0000			
418	406B773D	E94F0000			
418	407977A1	E94F0000			
419	3F800000	E96C0000			
419	3F879C7C	E96C0000			
419	3F8FACD6	E96C0000			
419	3F9837EF	E96C0000			
