atkrate	atklvl	dcy1rt	dcy1lvl	dcy2rt	dcy2lvl
2	32700	1	32700	32700	29430
sample	pitch	unknown			
434	3ED744F6	F8400000			
434	3EE411E4	F8400000			
434	3EF1A1BA	F8400000			
434	3F000000	F8400000			
434	3F079C84	F8400000			
434	3F0FACD6	F8400000			
434	3F1837F8	F8400000			
434	3F214520	F8400000			
434	3F2ADC0A	F8400000			
434	3F3504F7	F8400000			
434	3F3FC88E	F8400000			
434	3F4B2FFD	F8400000			
434	3F574507	F8400000			
434	3F6411F5	F8400000			
434	3F71A1CB	F8400000			
434	3F800000	F8400000			
434	3F879C7C	F8400000			
435	3F800000	F8400000			
435	3F879C7C	F8400000			
435	3F8FACD6	F8400000			
435	3F9837EF	F8400000			
435	3FA14517	F8400000			
435	3FAADC0A	F8400000			
435	3FB504F7	F8400000			
435	3FBFC886	F8400000			
435	3FCB2FF5	F8400000			
435	3FD744FE	F8400000			
435	3FE411F5	F8400000			
435	3FF1A1C2	F8400000			
435	40000000	F8400000			
435	40079C7C	F8400000			
435	400FACD6	F8400000			
435	401837EF	F8400000			
435	40214517	F8400000			
435	402ADC0A	F8400000			
435	403504F7	F8400000			
435	403FC88A	F8400000			
435	404B2FF9	F8400000			
435	405744FE	F8400000			
435	406411F5	F8400000			
435	4071A1C2	F8400000			
435	40800000	F8400000			
435	40879C7E	F8400000			
435	408FACD8	F8400000			
435	409837F1	F8400000			
435	40A14519	F8400000			
435	40AADC0A	F8400000			
435	40B504F5	F8400000			
435	40BFC888	F8400000			
435	40CB2FF9	F8400000			
435	40D74500	F8400000			
435	40E411F5	F8400000			
435	40F1A1C2	F8400000			
435	41000000	F8400000			
435	41079C7D	F8400000			
435	410FACD7	F8400000			
435	411837F1	F8400000			
435	41214519	F8400000			
435	412ADC0A	F8400000			
435	413504F5	F8400000			
435	413FC889	F8400000			
435	414B2FF8	F8400000			
435	41574500	F8400000			
435	416411F4	F8400000			
