atkrate	atklvl	dcy1rt	dcy1lvl	dcy2rt	dcy2lvl
2	32700	298	12882	1	0
sample	pitch	unknown			
378	3E641206	3B0000			
378	3E71A1DC	3B0000			
378	3E800000	3B0000			
378	3E879C84	3B0000			
378	3E8FACE6	3B0000			
378	3E9837F8	3B0000			
378	3EA1450F	3B0000			
378	3EAADC0A	3B0000			
378	3EB504E6	3B0000			
378	3EBFC88E	3B0000			
378	3ECB2FEC	3B0000			
378	3ED744F6	3B0000			
378	3EE411E4	3B0000			
378	3EF1A1BA	3B0000			
378	3F000000	3B0000			
378	3F079C84	3B0000			
378	3F0FACD6	3B0000			
378	3F1837F8	3B0000			
378	3F214520	3B0000			
378	3F2ADC0A	3B0000			
378	3F3504F7	3B0000			
378	3F3FC88E	3B0000			
378	3F4B2FFD	3B0000			
378	3F574507	3B0000			
378	3F6411F5	3B0000			
378	3F71A1CB	3B0000			
378	3F800000	3B0000			
379	3F800000	470000			
379	3F879C7C	470000			
380	3F800000	4B0000			
380	3F879C7C	4B0000			
380	3F8FACD6	4B0000			
380	3F9837EF	4B0000			
380	3FA14517	4B0000			
380	3FAADC0A	4B0000			
380	3FB504F7	4B0000			
380	3FBFC886	4B0000			
380	3FCB2FF5	4B0000			
380	3FD744FE	4B0000			
380	3FE411F5	4B0000			
380	3FF1A1C2	4B0000			
380	40000000	4B0000			
380	40079C7C	4B0000			
380	400FACD6	4B0000			
380	401837EF	4B0000			
380	40214517	4B0000			
380	402ADC0A	4B0000			
380	403504F7	4B0000			
380	403FC88A	4B0000			
380	404B2FF9	4B0000			
380	405744FE	4B0000			
380	406411F5	4B0000			
380	4071A1C2	4B0000			
380	40800000	4B0000			
380	40879C7E	4B0000			
380	408FACD8	4B0000			
380	409837F1	4B0000			
380	40A14519	4B0000			
380	40AADC0A	4B0000			
380	40B504F5	4B0000			
380	40BFC888	4B0000			
380	40CB2FF9	4B0000			
380	40D74500	4B0000			
380	40E411F5	4B0000			
