<EMDASH>,<BYTE:0xF7>
<LC>,<BYTE:0xFD>
<SQUARE>,<BYTE:0xFE>
<NULL>,<BYTE:0xFF>
<FONT_TOGGLE>,<BYTE:0xFC>
А,<BYTE:0x41>
Б,<BYTE:0x42>
В,<BYTE:0x43>
Г,<BYTE:0x44>
Д,<BYTE:0x45>
Е,<BYTE:0x46>
Ё,<BYTE:0x47>
Ж,<BYTE:0x48>
З,<BYTE:0x49>
И,<BYTE:0x4A>
Й,<BYTE:0x4B>
К,<BYTE:0x4C>
Л,<BYTE:0x4D>
М,<BYTE:0x4E>
Н,<BYTE:0x4F>
О,<BYTE:0x50>
П,<BYTE:0x51>
Р,<BYTE:0x52>
С,<BYTE:0x53>
Т,<BYTE:0x54>
У,<BYTE:0x55>
Ф,<BYTE:0x56>
Х,<BYTE:0x57>
Ц,<BYTE:0x58>
Ч,<BYTE:0x59>
Ш,<BYTE:0x5A>
¥,<BYTE:0x5C>
а,<BYTE:0x61>
б,<BYTE:0x62>
в,<BYTE:0x63>
г,<BYTE:0x64>
д,<BYTE:0x65>
е,<BYTE:0x66>
ё,<BYTE:0x67>
ж,<BYTE:0x68>
з,<BYTE:0x69>
и,<BYTE:0x6A>
й,<BYTE:0x6B>
к,<BYTE:0x6C>
л,<BYTE:0x6D>
м,<BYTE:0x6E>
н,<BYTE:0x6F>
о,<BYTE:0x70>
п,<BYTE:0x71>
р,<BYTE:0x72>
с,<BYTE:0x73>
т,<BYTE:0x74>
у,<BYTE:0x75>
ф,<BYTE:0x76>
х,<BYTE:0x77>
ц,<BYTE:0x78>
ч,<BYTE:0x79>
ш,<BYTE:0x7A>
Щ,<BYTE:0x80>
Á,<BYTE:0x81>
Ы,<BYTE:0x82>
Ь,<BYTE:0x83>
Э,<BYTE:0x84>
Ю,<BYTE:0x85>
Я,<BYTE:0x86>
Ê,<BYTE:0x87>
Ë,<BYTE:0x88>
Ì,<BYTE:0x89>
Í,<BYTE:0x8A>
Ъ,<BYTE:0x8B>
Ï,<BYTE:0x8C>
Ñ,<BYTE:0x8D>
щ,<BYTE:0x97>
ъ,<BYTE:0x98>
ы,<BYTE:0x99>
ь,<BYTE:0x9A>
э,<BYTE:0x9B>
ю,<BYTE:0x9C>
я,<BYTE:0x9D>
